Depth,DT,RHOB,NPHI,PEF,SGR,RT
3459.9372,68.6698,2.508,0.124872,2.5978,58.1218,6.7069
3417.1128,62.7774,2.5964,0.161722,3.7347,36.53,23.6498
3627.12,64.0484,2.6728,1.98E-02,3.7799,33.9276,59.8194
3148.2792,69.5517,2.5329,0.229105,3.8662,35.0919,10.7893
3677.1072,52.7923,2.7983,2.28E-02,6.5312,27.7747,57.9668
3689.604,51.3169,2.7137,0.011658,5.1259,19.5821,93.3284
3405.2256,68.1995,2.6084,13.329,4.3835,53.8443,3.0578
3672.5352,64.835,2.6615,0.192826,3.8556,61.3175,1.6984
3377.4888,64.948,2.5842,15.8149,4.7562,60.1674,28.1663
3334.3596,65.9324,2.5002,0.219194,3.7848,38.4045,4.6675
3515.106,56.2208,2.6369,6.6358,3.892,56.6129,25.2916
3376.2696,60.5367,2.5923,10.0597,4.6148,48.5741,17.6829
3482.9496,52.5139,2.629,2.2057,5.0484,11.2153,78.2878
3384.042,56.9705,2.7041,2.0292,4.6976,32.7368,28.3034
3505.6572,51.3791,2.4623,1.1878,3.9934,35.6222,57.5315
3436.7724,56.0806,2.6476,4.5187,4.8223,44.3481,16.6528
3387.09,63.1864,2.6036,4.7743,2.9157,35.4795,7.2624
3485.2356,54.0274,2.6508,2.5667,5.2237,17.5136,49.3374
3229.6608,56.4293,2.7534,8.6905,3.3741,36.8198,6.3143
3396.3864,58.1158,2.6328,0.169124,3.5601,50.9137,7.1001
3483.5592,57.0673,2.6802,0.119712,3.766,53.505,1912.81
3442.5636,68.0492,2.4324,15.6834,4.693,17.0444,40.1603
3417.57,54.848,2.6573,2.5223,4.9426,19.7111,64.6811
3523.488,62.5111,2.5642,11.6271,4.8986,18.2768,17.8857
3595.4208,59.107,2.5179,0.213986,3.5813,37.9359,5.2482
3406.902,68.6453,2.5316,13.4388,3.1357,30.4447,3.2895
3653.9424,63.7278,2.6415,0.153161,3.8312,36.9073,5.0812
3489.6552,51.6782,2.6129,1.8941,4.8509,19.2405,82.5378
3460.0896,72.3452,2.3653,14.83,2.2143,23.7197,1.3263
3451.5552,58.7866,2.5602,7.411,5.0143,17.5017,23.2762
3396.6912,51.3516,2.6957,0.7786,5.1496,31.3528,24.8466
3476.244,58.5297,2.5911,6.1016,4.8377,19.0553,11.337
3594.6588,86.1913,2.6229,30.3608,3.9088,104.831,2.2531
3390.9,79.5214,2.428,15.9642,2.431,62.7786,1.2009
3508.248,55.0792,2.6772,3.2803,4.3404,27.4526,25.1009
3492.5508,53.7228,2.6272,3.2243,5.109,15.4356,25.5259
3544.824,52.9703,2.8047,5.29E-02,3.7575,34.0978,21.2046
3263.9508,51.4149,2.7669,4.24,3.9957,24.6354,57.1204
3486.4548,56.5152,2.6753,4.2441,8.1396,12.7556,36.1234
3400.3488,66.3428,2.4881,11.7706,4.3201,22.3666,13.0702
3461.766,72.4437,2.3656,16.135,2.1137,20.7703,1.0247
3471.2148,60.5433,2.6537,9.51,7.8069,28.1407,18.5582
3369.8688,63.0672,2.5893,8.6375,4.7856,35.8702,9.5598
3252.8256,60.5099,2.5318,10.6188,4.8675,24.5416,34.2027
3498.4944,55.7916,2.616,6.4239,4.4557,15.5329,11.1073
3505.8096,51.0104,2.4921,1.0644,4.0815,35.0759,74.0416
3477.768,59.545,2.5511,8.2543,4.9347,13.6353,14.9471
3472.2816,55.9636,2.6438,3.7874,5.1464,25.6303,48.8112
3416.046,54.695,2.6835,2.1711,4.9794,27.9265,55.1772
3512.2104,52.5085,2.7272,1.2473,4.7246,38.173,86.402
3410.4072,77.7389,2.4048,16.8953,3.6865,34.0309,1.4795
3025.14,66.2641,2.6407,16.146,3.2206,44.2323,11.3111
3392.1192,56.2257,2.6885,0.132931,3.4967,72.7004,11.3615
3940.9116,73.4731,2.5068,0.141878,3.195,68.82,1.1531
3941.064,74.3888,2.507,0.142956,3.2253,68.3261,1.1636
3941.5212,76.7823,2.498,0.145958,3.143,66.66,1.1611
3941.9784,77.0462,2.482,0.148018,3.005,69.0418,1.1059
3942.1308,76.9982,2.477,0.149315,3.004,69.5,1.1022
3942.8928,75.9703,2.4909,0.150381,3.1886,67.6965,1.1195
3943.1976,74.452,2.524,0.152016,3.423,72.0918,1.3594
3943.35,74.0473,2.5334,0.153733,3.435,72.67,1.4022
3943.9596,73.9446,2.5208,0.152706,3.3191,79.8366,1.6143
3944.112,73.6611,2.5184,0.15031,3.328,79.5,1.6121
3944.874,73.653,2.5154,0.16782,3.3056,69.2478,1.9213
3945.9408,75.935,2.6556,0.207711,3.457,79.28,2.078
3946.0932,75.5495,2.6301,0.21047,3.5095,81.7721,2.1106
3946.7028,74.9604,2.4683,0.207269,3.563,93.77,2.6977
3947.922,73.0532,2.552,0.188941,3.736,84.87,2.615
3024.5304,77.7135,2.4383,18.0105,2.2966,50.4693,9.6891
3024.6828,74.9188,2.4977,17.2752,2.5448,49.5458,9.7959
3024.8352,71.9294,2.5558,16.6079,2.7924,48.0837,9.9277
3024.9876,69.0835,2.6055,16.1759,3.0201,46.281,10.3013
3617.6712,56.4839,2.7441,9.32E-02,3.5479,28.5351,7.303
3368.3376,52.83,2.717,8.85E-02,3.162,32.64,9.865
3329.628,61.75,2.729,0.1458,3.436,60.83,6.088
3258.3048,61.65,2.64,0.155,3.491,45.62,41.7
3389.5212,63.32,2.472,0.1572,2.779,36.93,43.9
3260.1336,59.74,2.589,0.1908,3.162,64.51,6.088
3302.8056,65.1,2.623,0.1862,3.381,83.63,3.62
